% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=261133, Tue Aug 23 10:54:18 2022, <python>{}</python>
1 10 2.3759545302827725 0 0 2.362460876221851 2.388758578780884 2.398513147580693 2.3230950504995462 2.3774955758894962 2.387095912148195 2.3051916474822907 2.434544572227441 2.3058282546770625
2 20 2.411949535960522 0 0 2.512736839434562 2.417863666974671 2.373189567759975 2.3957464939496806 2.394323928349826 2.4146549191534015 2.3630095397730737 2.4799434541594794 2.243337839554174
3 30 2.4658805375992126 0 0 2.5460639368633253 2.4954450235879837 2.4004566370092753 2.47157028006734 2.5027646292134818 2.464538280781121 2.3882626326860033 2.5465812713817484 2.1949950312401834
4 40 2.5067934865439443 0 0 2.5589738464166483 2.5430428521972317 2.442130890888167 2.501790614554128 2.620029906243606 2.498408197930072 2.3972987872053597 2.5752848121990035 2.153824128869391
5 50 2.4230204682405065 0 0 2.4509065480069303 2.4352290451305003 2.3672243212967956 2.4304729819363287 2.550127063155703 2.4116366014001063 2.2953444057041996 2.342381499738265 2.074255310255304
6 60 2.264309580141385 0 0 2.301701781338868 2.2166633990934037 2.2450684863672916 2.235140065595811 2.423418412271492 2.2565355623196153 2.161977200793571 2.0808748993362176 1.8556726591185961
7 70 2.3798234528457676 0 0 2.4405751449063167 2.483099976671795 2.3327590836982375 2.305984819767311 2.656045721558005 2.279465002418365 2.2677488380403874 2.235029730320178 1.902266380321288
8 80 2.311891899213237 0 0 2.494538066686754 2.4407455726954095 2.2248220823172447 2.1969410856449536 2.598288581255348 2.130543582656824 2.071462585099788 2.1776947026882296 1.8457281009075268
9 90 2.2661744998379834 0 0 2.4736153548877042 2.393121811134467 2.2313291213335376 2.183167614269851 2.5790732035073494 2.015749111936887 2.125129544455673 1.9873925250097206 1.8565558635996233
10 100 2.2806072055832503 0 0 2.5274709470073486 2.372905437196142 2.2491804055136124 2.1640995692172127 2.767764857850715 2.0219835188913806 2.162208588203572 1.931657010317896 1.844909607067717
11 110 2.359579574284948 0 0 2.53921607143583 2.4541388298078894 2.236768131932697 2.2989305506020226 2.9172687416453633 2.128651544990464 2.235531833735906 1.9635902233132774 1.8831536182607767
12 120 2.423631060151302 0 0 2.578719711945905 2.5480363116793385 2.317748215625755 2.36912543747618 3.086736273142724 2.191827181865426 2.271461141503414 1.9897308061251087 1.9413666059639951
